control_group,max_channels
kAD824,5
kAD824Host,0
kAD824Setup,5
kDCAFadeTime,7
kDCAFader,7
kDCAMute,7
kDCAName,7
kEffect,3
kGEQ,7
kGroupID_Input,55
kGroupID_Matrix,7
kGroupID_Mix,15
kGroupID_Stereo,2
kGroupIsRelative,29
kGroupSelectorMask,29
kIconDCA,7
kIconInputChannel,55
kIconMatrixChannel,7
kIconMixChannel,15
kIconStereoChannel,2
kInputAttenuator,55
kInputDCA,55
kInputDirectOut,55
kInputDyna1Link,55
kInputDyna1Pair,55
kInputDyna2Link,55
kInputDyna2Pair,55
kInputDynamics1,55
kInputDynamics2,55
kInputEQ,55
kInputEQLink,55
kInputFadeTime,55
kInputFader,55
kInputHA,55
kInputHPF,55
kInputInsert,55
kInputLCR,55
kInputMute,55
kInputOn,55
kInputPair,55
kInputPan,55
kInputPhase,55
kInputStMonoLCR,55
kInputToMatrix,55
kInputToMatrixPan,55
kInputToMix,55
kInputToMixPan,55
kInputToMono,55
kInputToStereo,55
kMatrixAttenuator,7
kMatrixBalance,7
kMatrixBusType,7
kMatrixDCA,7
kMatrixDynaLink,7
kMatrixDynaPair,7
kMatrixDynamics,7
kMatrixEQ,7
kMatrixEQLink,7
kMatrixFadeTime,7
kMatrixFader,7
kMatrixFromInPanLink,7
kMatrixGroup,7
kMatrixInsert,7
kMatrixOn,7
kMatrixPair,7
kMixAttenuator,15
kMixBalance,15
kMixBusType,15
kMixDCA,15
kMixDynaLink,15
kMixDynaPair,15
kMixDynamics,15
kMixEQ,15
kMixEQLink,15
kMixFadeTime,15
kMixFader,15
kMixFromInPanLink,15
kMixGroup,15
kMixInsert,15
kMixLCR,15
kMixOn,15
kMixPair,15
kMixPostToStereo,15
kMixStMonoLCR,15
kMixToMatrix,15
kMixToMatrixPan,15
kMixToMono,15
kMixToStereo,15
kMuteSafeInput,55
kMuteSafeMatrix,7
kMuteSafeMix,15
kMuteSafeStereo,2
kNameInputChannel,55
kNameMatrixModule,7
kNameMixModule,15
kNameStereoOutModule,2
kPatchInCascadeCue,1
kPatchInCascadeMatrix,7
kPatchInCascadeMix,15
kPatchInCascadeStereo,2
kPatchInInput,55
kPatchInInsertInput,55
kPatchInInsertMatrix,7
kPatchInInsertMix,15
kPatchInInsertStereo,2
kPatchOutD2trSrc,1
kPatchOutOmniOutSrc,31
kPatchOutRackSrc,7
kPatchOutSlotOutSrc,2
kRP_Input_Fader,55
kRP_Matrix_Fader,7
kRP_Mix_Fader,15
kRP_Stereo_Fader,2
kRackMount,7
kSceneCenterBusControl,0
kSceneComment,0
kSceneDateTime,5
kSceneFadeTimeEnable,0
kSceneFocusRecallMaster,0
kSceneInputLink,0
kSceneMuteMaster,7
kSceneOutputLink,0
kSetupAD824,11
kSetupAD824CommPort,0
kSetupAD824Type,11
kSetupBrightness,1
kSetupBrightnessBank,0
kSetupCntrlChangeTable,119
kSetupCue,0
kSetupCueDCA,11
kSetupCueDelay,1
kSetupCueEffect,7
kSetupCueExternal,4
kSetupCueInput,59
kSetupCueKeyIn,59
kSetupCueMatrix,11
kSetupCueMix,19
kSetupCueStack,5
kSetupCueStackDCA,11
kSetupCueStackInput,59
kSetupCueStackMatrix,11
kSetupCueStackMix,19
kSetupCueStackStereo,6
kSetupCueStereo,6
kSetupD2TrOutDelay,1
kSetupD2TrOutPhase,1
kSetupDCAAssign,5
kSetupDIOCascade,0
kSetupDIOCascadeIO,28
kSetupDIOCascadeLink,0
kSetupDIODitherD2Tr,0
kSetupDIODitherSlot,2
kSetupDIOParam,0
kSetupDIOTASCAM,3
kSetupDateTimeFormat,0
kSetupDelayFunc,0
kSetupMIDIControl,0
kSetupMIDIEchoEnable,0
kSetupMIDIOmniEnable,0
kSetupMIDIProgram,0
kSetupMIDIRx,0
kSetupMIDIRxEnable,0
kSetupMIDIThruPort,1
kSetupMIDITx,0
kSetupMIDITxEnable,0
kSetupMeterSetup,0
kSetupMonitor,0
kSetupMonitorDefineAssign,29
kSetupMonitorDelay,2
kSetupNameAutoCopy,0
kSetupNetwork,0
kSetupOmniDelay,31
kSetupOmniOutPhase,31
kSetupOscAssign,26
kSetupOscSetting,0
kSetupOutPortAttLevel,81
kSetupPGMChangeTable,127
kSetupPortNameAD,55
kSetupPortNameD2TrOut,1
kSetupPortNameSlotIn,47
kSetupPortNameSlotOut,47
kSetupPreference,47
kSetupPreferenceByte,7
kSetupRecallSafeDCA,7
kSetupRecallSafeDCAAll,7
kSetupRecallSafeIn,55
kSetupRecallSafeInputName,0
kSetupRecallSafeInputPatch,0
kSetupRecallSafeMatrix,7
kSetupRecallSafeMix,15
kSetupRecallSafeMuteMaster,0
kSetupRecallSafeOutputName,0
kSetupRecallSafeOutputPatch,0
kSetupRecallSafeRack,7
kSetupRecallSafeStereo,2
kSetupSlotDelay,47
kSetupSlotOutPhase,47
kSetupSlotParam,2
kSetupSoloSafeInput,55
kSetupSoloSafeMatrix,7
kSetupSoloSafeMix,15
kSetupSoloSafeStereo,2
kSetupStudioMgrPort,0
kSetupTBAssign,26
kSetupTalkback,0
kSetupTalkbackDimmer,4
kStereoAttenuator,2
kStereoBalance,2
kStereoDCA,2
kStereoDynaLink,2
kStereoDynaPair,2
kStereoDynamics,2
kStereoEQ,2
kStereoEQLink,2
kStereoFadeTime,2
kStereoFader,2
kStereoGroup,2
kStereoInsert,2
kStereoOn,2
kStereoPair,2
kStereoToMatrix,2
kStereoToMatrixPan,2
