canonical_id,hex_from,hex_to,count
kInputFader.kFader,0000,0037,56

kInputToMix.kMix1Level,28EA,2921,56
kInputToMix.kMix2Level,292A,2961,56
kInputToMix.kMix3Level,296A,29A1,56
kInputToMix.kMix4Level,29AA,29E1,56
kInputToMix.kMix5Level,29EA,2A21,56
kInputToMix.kMix6Level,2A2A,2A61,56
kInputToMix.kMix7Level,2A6A,2AA1,56
kInputToMix.kMix8Level,2AAA,2AE1,56

kInputToMix.kMix9Level,007E,00B5,56
kInputToMix.kMix10Level,00DE,0115,56
kInputToMix.kMix11Level,013E,0175,56
kInputToMix.kMix12Level,019E,01D5,56
kInputToMix.kMix13Level,01FE,0235,56
kInputToMix.kMix14Level,025E,0295,56
kInputToMix.kMix15Level,02BE,02F5,56
kInputToMix.kMix16Level,031E,0355,56



kInputHPF.kEQHPFFreq,3640,3677,56

kInputEQ.kEQOn,1304,1381,56

kInputEQ.kEQ1Q,1382,13FF,56
kInputEQ.kEQ1F,1400,147D,56
kInputEQ.kEQ1G,147E,14FB,56

kInputEQ.kEQ2Q,14FC,1579,56
kInputEQ.kEQ2F,157A,15F7,56
kInputEQ.kEQ2G,15F8,1675,56

kInputEQ.kEQ3Q,1676,16F3,56
kInputEQ.kEQ3F,16F4,1771,56
kInputEQ.kEQ3G,1772,17EF,56

kInputEQ.kEQ4Q,17F0,186D,56
kInputEQ.kEQ4F,186E,18EB,56
kInputEQ.kEQ4G,18EC,1969,56

kInputAttenuator.kAtt,196A,19A1,56

kInputEQ.kEQ1HPFOn,19E8,1A65,56
kInputEQ.kEQ4LPFOn,1A66,1AE3,56

kInputEQ.kEQ1Type,3440,3477,56
kInputEQ.kEQ4Type,3480,34B7,56

kMixEQ.kEQ1Type,34C0,34E2,35
kMixEQ.kEQ4Type,34E4,3506,35



kInputDynamics1.kDynaOn,1AE4,1B1B,56

kInputDynamics1.kDynaAttack,1B44,1B7B,56
kInputDynamics1.kDynaThreshold,1BA4,1BDB,56
kInputDynamics1.kDynaRange,1C04,1C3B,56
kInputDynamics1.kDynaHold,1C64,1C9B,56
kInputDynamics1.kDynaDecay,1CC4,1CFB,56

kInputDynamics2.kDynaOn,1D24,1DA1,56

kInputDynamics2.kDynaAttack,1DA2,1E1F,56
kInputDynamics2.kDynaThreshold,1E20,1E9D,126
kInputDynamics2.kDynaRelease,1E9E,1F1B,56
kInputDynamics2.kDynaRatio,1F1C,1F99,56
kInputDynamics2.kDynaGain,1F9A,2017,56
kInputDynamics2.kDynaKnee,2018,2095,56

kInputDynamics1.kDynaRatio,3D9C,3DD3,56
kInputDynamics1.kDynaKnee,3DD4,3E0B,56
kInputDynamics1.kDynaGain,3E0C,3E43,56

kInputDynamics2.kDynaType,3E44,3E7B,56
kInputDynamics2.kDynaFilterFreq,3E7C,3EB3,56



kInputPan.kChannelPan,2096,20CD,56

kInputToMixPan.kMix0910Pan,20F6,212D,56
kInputToMixPan.kMix1112Pan,2156,218D,56
kInputToMixPan.kMix1314Pan,21B6,21ED,56
kInputToMixPan.kMix1516Pan,2216,224D,56

kInputToMatrixPan.kMatrix0102Pan,2276,22AD,56
kInputToMatrixPan.kMatrix0304Pan,22D6,230D,56

kMixToMatrixPan.kToMatrixPan0102,2336,234B,22
kMixToMatrixPan.kToMatrixPan0304,234C,2361,22
kMixToMatrixPan.kToMatrixPan0506,2362,2377,22
kMixToMatrixPan.kToMatrixPan0708,2378,238D,22

kMixToStereo.kMixToStereoPan,238E,2395,8
