canonical_id,hex_from,hex_to,count

kInputDynamics1.kDynaOn,1AE4,1B1B,56

kInputDynamics1.kDynaAttack,1B44,1B7B,56
kInputDynamics1.kDynaThreshold,1BA4,1BDB,56
kInputDynamics1.kDynaRange,1C04,1C3B,56
kInputDynamics1.kDynaHold,1C64,1C9B,56
kInputDynamics1.kDynaDecay,1CC4,1CFB,56

kInputDynamics2.kDynaOn,1D24,1DA1,126

kInputDynamics2.kDynaAttack,1DA2,1E1F,126
kInputDynamics2.kDynaThreshold,1E20,1E9D,126
kInputDynamics2.kDynaRelease,1E9E,1F1B,126
kInputDynamics2.kDynaRatio,1F1C,1F99,126
kInputDynamics2.kDynaGain,1F9A,2017,126
kInputDynamics2.kDynaKnee,2018,2095,126

kInputDynamics1.kDynaRatio,3D9C,3DD3,56
kInputDynamics1.kDynaKnee,3DD4,3E0B,56
kInputDynamics1.kDynaGain,3E0C,3E43,56

kInputDynamics2.kDynaType,3E44,3E7B,56
kInputDynamics2.kDynaFilterFreq,3E7C,3EB3,56
