canonical_id,hex_from,hex_to,count

kInputHPF.kEQHPFFreq,3640,3677,56

kInputEQ.kEQOn,1304,1381,126

kInputEQ.kEQ1Q,1382,13FF,126
kInputEQ.kEQ1F,1400,147D,126
kInputEQ.kEQ1G,147E,14FB,126

kInputEQ.kEQ2Q,14FC,1579,126
kInputEQ.kEQ2F,157A,15F7,126
kInputEQ.kEQ2G,15F8,1675,126

kInputEQ.kEQ3Q,1676,16F3,126
kInputEQ.kEQ3F,16F4,1771,126
kInputEQ.kEQ3G,1772,17EF,126

kInputEQ.kEQ4Q,17F0,186D,126
kInputEQ.kEQ4F,186E,18EB,126
kInputEQ.kEQ4G,18EC,1969,126

kInputAttenuator.kAtt,196A,19A1,56

kInputEQ.kEQ1HPFOn,19E8,1A65,126
kInputEQ.kEQ4LPFOn,1A66,1AE3,126

kInputEQ.kEQ1Type,3440,3477,56
kInputEQ.kEQ4Type,3480,34B7,56

kMixEQ.kEQ1Type,34C0,34E2,35
kMixEQ.kEQ4Type,34E4,3506,35
