
canonical_id,hex_from,hex_to,count

kGeqRack1_3.kOn,27C4,27C9,6

kGeqRack1_3.kGain1,27CA,27CF,6
kGeqRack1_3.kGain2,27D0,27D5,6
kGeqRack1_3.kGain3,27D6,27DB,6
kGeqRack1_3.kGain4,27DC,27E1,6
kGeqRack1_3.kGain5,27E2,27E7,6
kGeqRack1_3.kGain6,27E8,27ED,6
kGeqRack1_3.kGain7,27EE,27F3,6
kGeqRack1_3.kGain8,27F4,27F9,6
kGeqRack1_3.kGain9,27FA,27FF,6
kGeqRack1_3.kGain10,2800,2805,6
kGeqRack1_3.kGain11,2806,280B,6
kGeqRack1_3.kGain12,280C,2811,6
kGeqRack1_3.kGain13,2812,2817,6
kGeqRack1_3.kGain14,2818,281D,6
kGeqRack1_3.kGain15,281E,2823,6
kGeqRack1_3.kGain16,2824,2829,6
kGeqRack1_3.kGain17,282A,282F,6
kGeqRack1_3.kGain18,2830,2835,6
kGeqRack1_3.kGain19,2836,283B,6
kGeqRack1_3.kGain20,283C,2841,6
kGeqRack1_3.kGain21,2842,2847,6
kGeqRack1_3.kGain22,2848,284D,6
kGeqRack1_3.kGain23,284E,2853,6
kGeqRack1_3.kGain24,2854,2859,6
kGeqRack1_3.kGain25,285A,285F,6
kGeqRack1_3.kGain26,2860,2865,6
kGeqRack1_3.kGain27,2866,286B,6
kGeqRack1_3.kGain28,286C,2871,6
kGeqRack1_3.kGain29,2872,2877,6
kGeqRack1_3.kGain30,2878,287D,6
kGeqRack1_3.kGain31,287E,2883,6


kGeqRack4_6.kGain1,3858,385D,6
kGeqRack4_6.kGain2,385E,3863,6
kGeqRack4_6.kGain3,3864,3869,6
kGeqRack4_6.kGain4,386A,386F,6
kGeqRack4_6.kGain5,3870,3875,6
kGeqRack4_6.kGain6,3876,387B,6
kGeqRack4_6.kGain7,387C,3881,6
kGeqRack4_6.kGain8,3882,3887,6
kGeqRack4_6.kGain9,3888,388D,6
kGeqRack4_6.kGain10,388E,3893,6
kGeqRack4_6.kGain11,3894,3899,6
kGeqRack4_6.kGain12,389A,389F,6
kGeqRack4_6.kGain13,38A0,38A5,6
kGeqRack4_6.kGain14,38A6,38AB,6
kGeqRack4_6.kGain15,38AC,38B1,6
kGeqRack4_6.kGain16,38B2,38B7,6
kGeqRack4_6.kGain17,38B8,38BD,6
kGeqRack4_6.kGain18,38BE,38C3,6
kGeqRack4_6.kGain19,38C4,38C9,6
kGeqRack4_6.kGain20,38CA,38CF,6
kGeqRack4_6.kGain21,38D0,38D5,6
kGeqRack4_6.kGain22,38D6,38DB,6
kGeqRack4_6.kGain23,38DC,38E1,6
kGeqRack4_6.kGain24,38E2,38E7,6
kGeqRack4_6.kGain25,38E8,38ED,6
kGeqRack4_6.kGain26,38EE,38F3,6
kGeqRack4_6.kGain27,38F4,38F9,6
kGeqRack4_6.kGain28,38FA,38FF,6
kGeqRack4_6.kGain29,3900,3905,6
kGeqRack4_6.kGain30,3906,390B,6
kGeqRack4_6.kGain31,390C,3911,6


kGeqRack7_8.kOn,3EB4,3EB7,4

kGeqRack7_8.kGain1,3EB8,3EBB,4
kGeqRack7_8.kGain2,3EBC,3EBF,4
kGeqRack7_8.kGain3,3EC0,3EC3,4
kGeqRack7_8.kGain4,3EC4,3EC7,4
kGeqRack7_8.kGain5,3EC8,3ECB,4
kGeqRack7_8.kGain6,3ECC,3ECF,4
kGeqRack7_8.kGain7,3ED0,3ED3,4
kGeqRack7_8.kGain8,3ED4,3ED7,4
kGeqRack7_8.kGain9,3ED8,3EDB,4
kGeqRack7_8.kGain10,3EDC,3EDF,4
kGeqRack7_8.kGain11,3EE0,3EE3,4
kGeqRack7_8.kGain12,3EE4,3EE7,4
kGeqRack7_8.kGain13,3EE8,3EEB,4
kGeqRack7_8.kGain14,3EEC,3EEF,4
kGeqRack7_8.kGain15,3EF0,3EF3,4
kGeqRack7_8.kGain16,3EF4,3EF7,4
kGeqRack7_8.kGain17,3EF8,3EFB,4
kGeqRack7_8.kGain18,3EFC,3EFF,4
kGeqRack7_8.kGain19,3F00,3F03,4
kGeqRack7_8.kGain20,3F04,3F07,4
kGeqRack7_8.kGain21,3F08,3F0B,4
kGeqRack7_8.kGain22,3F0C,3F0F,4
kGeqRack7_8.kGain23,3F10,3F13,4
kGeqRack7_8.kGain24,3F14,3F17,4
kGeqRack7_8.kGain25,3F18,3F1B,4
kGeqRack7_8.kGain26,3F1C,3F1F,4
kGeqRack7_8.kGain27,3F20,3F23,4
kGeqRack7_8.kGain28,3F24,3F27,4
kGeqRack7_8.kGain29,3F28,3F2B,4
kGeqRack7_8.kGain30,3F2C,3F2F,4
kGeqRack7_8.kGain31,3F30,3F33,4

kGeqRack7_8.kEqAtt,3F34,3F4E,27
