canonical_id,hex_from,hex_to,count
kInputFader.kFader,0000,0037,56

kInputToMix.kMix1Level,28EA,2921,56
kInputToMix.kMix2Level,292A,2961,56
kInputToMix.kMix3Level,296A,29A1,56
kInputToMix.kMix4Level,29AA,29E1,56
kInputToMix.kMix5Level,29EA,2A21,56
kInputToMix.kMix6Level,2A2A,2A61,56
kInputToMix.kMix7Level,2A6A,2AA1,56
kInputToMix.kMix8Level,2AAA,2AE1,56

kInputToMix.kMix9Level,007E,00B5,56
kInputToMix.kMix10Level,00DE,0115,56
kInputToMix.kMix11Level,013E,0175,56
kInputToMix.kMix12Level,019E,01D5,56
kInputToMix.kMix13Level,01FE,0235,56
kInputToMix.kMix14Level,025E,0295,56
kInputToMix.kMix15Level,02BE,02F5,56
kInputToMix.kMix16Level,031E,0355,56
